Maintenance_ID,Equipment_ID,Maintenance_Date,Maintenance_Type,Duration_Hours,Cost,Technician,Description,Status
MNT0001,EQ001,2022-01-15,Preventive,3.2,612.50,John_Smith,Routine inspection and lubrication,Completed
MNT0002,EQ001,2022-04-18,Preventive,2.8,498.75,Maria_Garcia,Filter replacement,Completed
MNT0003,EQ001,2022-07-22,Corrective,6.4,1547.80,David_Chen,Bearing replacement,Completed
MNT0004,EQ001,2022-10-14,Preventive,3.5,663.25,Sarah_Johnson,Belt tension adjustment,Completed
MNT0005,EQ001,2023-01-08,Preventive,4.1,721.88,Mike_Wilson,Calibration check,Completed
MNT0006,EQ001,2023-04-12,Corrective,8.2,2156.40,John_Smith,Seal repair,Completed
MNT0007,EQ001,2023-07-16,Preventive,2.9,523.75,Maria_Garcia,Routine inspection and lubrication,Completed
MNT0008,EQ001,2023-10-20,Predictive,2.4,612.00,David_Chen,Vibration analysis,Completed
MNT0009,EQ002,2022-02-03,Preventive,4.2,798.50,Sarah_Johnson,Filter replacement,Completed
MNT0010,EQ002,2022-05-17,Emergency,12.4,4980.00,Mike_Wilson,Critical failure repair,Completed
MNT0011,EQ002,2022-08-21,Corrective,7.1,1789.20,John_Smith,Component alignment,Completed
MNT0012,EQ002,2022-11-15,Preventive,3.8,684.75,Maria_Garcia,Routine inspection and lubrication,Completed
MNT0013,EQ002,2023-02-18,Predictive,1.9,513.00,David_Chen,Oil analysis,Completed
MNT0014,EQ002,2023-05-24,Preventive,4.5,831.25,Sarah_Johnson,Belt tension adjustment,Completed
MNT0015,EQ002,2023-08-28,Corrective,5.9,1523.80,Mike_Wilson,Wiring repair,Completed
MNT0016,EQ002,2023-12-02,Preventive,3.1,558.75,John_Smith,Calibration check,Completed
MNT0017,EQ003,2022-01-28,Preventive,5.2,934.00,Maria_Garcia,Routine inspection and lubrication,Completed
MNT0018,EQ003,2022-04-14,Corrective,9.8,2654.40,David_Chen,Bearing replacement,Completed
